State/UT,Year,Total Population,Rural Population,Urban Population,Total Lit,Lit_rate,Area in km2,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total crime against sc,Total crime against women,Total crimes against ST,Total crime against children,Total crimes,Total crime rate
PUDUCHERRY,2009,1190440,396492,793948,905121,84.84,479,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591,29,7534,0,21,17496,1469.708679
PUNJAB,2009,27035189,17871923,9163265,17917104,74.49,50362,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545,108,93,0,729,78847,291.645825
RAJASTHAN,2009,66198247,50668778,15529469,36160628,65.01,342239,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565,639183,2793,1183,1407,1004229,1517.002406
SIKKIM,2009,594321,529726,64595,402789,78.11,7096,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,669,16,18017,14,40,19511,3282.906039
TAMIL NADU,2009,70192302,39178467,31013836,49574915,78.87,130058,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691,1312,39,22,634,369069,525.7969741
TRIPURA,2009,3576666,2970075,608192,2648246,78.59,10486,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486,7,5928,27,163,17823,498.3132336
UTTAR PRADESH,2009,192904766,152642779,40261987,106661901,64.86,240928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884,7522,1676,4,3085,395123,204.8280134
UTTARAKHAND,2009,9791271,7296200,2495072,6525919,76.9,53483,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802,58,20030,0,33,39712,405.5857508
WEST BENGAL,2009,89113428,64212460,24900968,58669905,74.88,88752,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,113036,21,1069,16,484,249881,280.4077967
A& N ISLANDS,2010,378138,254501,123637,290166,84.9,8249,9,7,4,24,0,24,10,8,2,1,0,7,80,121,22,99,11,10,56,0,12,80,0,31,10,9,0,9,489,980,0,28919,1,51,31086,8220.808276
ANDHRA PRADESH,2010,83743700,61165383,22578317,49494516,65.8,275045,2538,1953,155,1362,0,1362,2053,1531,522,134,2,550,8200,26756,7422,19334,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,181438,4321,47,807,1823,400045,477.7016062
ARUNACHAL PRADESH,2010,1354147,1060604,293542,737883,63.3,83743,75,34,3,47,0,47,67,46,21,15,0,69,211,445,139,306,31,59,91,0,28,439,0,84,1,12,0,106,622,2439,0,25167,54,20,30678,2265.48521
ASSAM,2010,30717898,26810699,3907199,18661715,70.4,78438,1223,431,46,1721,5,1716,3250,2767,483,248,12,662,3458,7860,2124,5736,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,61668,7,200,3,197,136574,444.6072449
BIHAR,2010,101724024,91047211,10676813,50365055,59.8,94163,3362,2915,344,795,0,795,3674,2569,1105,644,46,1538,3437,15544,4257,11287,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,127453,3516,13470,1843,1843,295591,290.5813085
CHANDIGARH,2010,1039281,106378,932903,789219,84.5,114,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373,0,9836,0,59,18191,1750.344709
CHHATTISGARH,2010,25069557,20109155,4960401,14959245,68.49,135191,1065,756,30,1012,0,1012,359,279,80,122,15,552,3711,5805,2139,3666,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,54958,271,241,386,1463,119453,476.4862817
D & N HAVELI,2010,330617,254641,75976,211297,74.5,491,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,0,4208,2,13,5063,1531.379209
DAMAN & DIU,2010,234440,143816,90625,180325,86.19,112,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,0,14,0,2,856,365.1254052
DELHI,2010,16462962,1120807,15342156,12430467,85.76,16579,565,311,71,507,0,507,3208,1740,1468,32,31,599,1502,23088,14966,8122,53,273,1845,33,52,1925,143,601,80,1404,0,914,14055,51292,16,8,0,3630,133041,808.1231069
GOA,2010,1446718,727630,719088,1147495,85.74,3702,35,27,3,36,0,36,25,18,7,2,0,39,368,1034,359,675,64,57,117,33,23,177,1,36,16,17,0,256,927,3293,1,5920,0,79,13681,945.6576886
GUJARAT,2010,59412367,37319903,22092464,39966797,86.3,196024,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439,195,160,155,1006,253043,425.9096427
HARYANA,2010,24932229,17670969,7261261,16148457,76.92,44212,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,59120,107,9517,0,303,146116,586.0526951
HIMACHAL PRADESH,2010,6778648,6107421,671227,4939925,75.58,55673,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,13049,5,5922,2,246,33465,493.682516
JAMMU & KASHMIR,2010,12308403,9241135,3067269,6841238,78.95,222236,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,23223,1,906,0,17,51021,414.521689
JHARKHAND,2010,32364197,25057611,7306586,17672982,65.67,79714,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,38889,577,3322,234,54,90806,280.5754767
KARNATAKA,2010,60302690,39930031,20372659,39626086,66.33,191791,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,142322,2505,3458,294,409,313363,519.6501184
KERALA,2010,33233047,24548530,8684517,27870810,94.08,38863,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,148313,583,8703,88,596,311871,938.4363703
LAKSHADWEEP,2010,64051,35547,28504,51766,93.47,32,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,3,0,0,0,2,1,0,0,0,0,0,0,26,42,0,10714,0,0,10803,16866.24721
MADHYA PRADESH,2010,65941611,52652870,18719741,41725308,88.31,308245,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,214269,3374,2,1384,4912,464109,703.8181096
MAHARASHTRA,2010,101232553,63836773,46986765,79795455,81.77,307713,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,208168,1132,16718,292,3264,493414,487.4064571
MANIPUR,2010,2666259,1853700,821469,1848682,76.79,22327,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,2715,0,15952,0,73,22105,829.0642432
MEGHALAYA,2010,2899489,2334756,564733,1722292,72.75,22429,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,2505,0,289,0,110,6293,217.0382436
MIZORAM,2010,1070770,540610,530160,829502,91.1,21081,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,2174,0,248,0,50,5570,520.1864079
NAGALAND,2010,1981545,1632485,349060,1321423,76.77,1483,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,1059,0,39,0,10,2630,132.7247173
ODISHA,2010,41433088,35169788,6263300,26052041,72.3,155707,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,56459,1710,36,556,194,125027,301.7564127
PUDUCHERRY,2010,1217452,405338,812114,931215,85.3,479,33,19,16,3,0,3,17,14,3,2,10,5,72,534,384,150,131,12,77,3,10,806,1,46,22,7,0,242,1867,3935,31,,0,16,8471,695.7974524
PUNJAB,2010,27369712,18093853,9275860,18312120,75.12,50362,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,36648,115,,0,627,80819,295.2862639
RAJASTHAN,2010,67409630,51590773,15818856,37217955,65.61,342239,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,162957,624166,,1319,1318,979597,1453.200381
SIKKIM,2010,601004,535819,65185,423870,79.65,7096,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,552,3,,1,29,1214,201.9953278
TAMIL NADU,2010,71165630,39710565,31455065,50706211,79.57,130058,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,185678,1631,,33,810,390819,549.1681869
TRIPURA,2010,3623849,3009652,615997,2726515,79.29,10486,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,5805,11,,35,227,12692,350.2353437
UTTAR PRADESH,2010,196243121,155265834,40977287,110529728,66.02,240928,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,174179,6272,,0,2332,395999,201.7900031
UTTARAKHAND,2010,9954012,7419440,2534571,6703436,77.59,53483,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,9240,35,,0,31,21091,211.884414
WEST BENGAL,2010,90230582,65020400,25210182,60104093,75.7,88752,2398,2111,630,2311,0,2311,3345,2764,581,288,687,798,388,19389,4123,15266,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,129616,63,,47,880,285267,316.1533414
A& N ISLANDS,2011,380581,256117,124464,294281,86.63,8249,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,793,0,48,7,31,1788,469.8080041
ANDHRA PRADESH,2011,84580777,61805863,22774914,50556760,67.02,275045,2808,2229,171,1442,0,1442,2154,1612,542,126,7,600,8300,28267,8966,19301,2210,1174,9748,224,1021,54452,599,4849,3658,13376,0,13973,38392,189780,4016,25536,805,2213,443993,524.9336974
ARUNACHAL PRADESH,2011,1382611,1081773,300838,766005,65.38,83743,65,29,2,42,0,42,93,60,33,13,0,64,183,414,152,262,49,54,74,2,34,379,0,51,0,18,0,98,622,2286,0,171,34,35,5361,387.7446368
ASSAM,2011,31169272,27210078,3959194,19177977,72.19,78438,1303,504,48,1700,0,1700,3764,3192,572,305,4,837,3327,8309,585,7724,2328,920,1495,60,506,6306,121,1193,8,5246,2,2915,25513,66714,0,11462,2,236,158901,509.8001647
BIHAR,2011,103804637,92906156,10898481,52504553,61.8,94163,3198,3327,348,934,1,933,4268,3050,1218,556,105,1381,3629,16292,5041,11251,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,135896,3623,8815,2233,2233,310190,298.8209477
CHANDIGARH,2011,1054686,107962,946724,805438,86.05,114,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,3542,1,154,0,74,8900,843.853052
CHHATTISGARH,2011,25540196,20493722,5046474,15379922,70.28,135191,1110,747,28,1053,0,1053,472,365,107,68,7,470,3548,5315,2292,3023,934,180,980,65,289,11105,104,1654,174,834,2,2856,25223,57218,253,4186,336,1782,127833,500.5169107
D & N HAVELI,2011,342853,264042,78811,223230,76.24,491,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,1,17,2,11,857,249.9613537
DAMAN & DIU,2011,242911,148589,94322,188406,87.1,112,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,0,5,0,3,834,343.335625
DELHI,2011,16753235,1140371,15612864,12737767,86.21,16579,543,386,71,572,0,572,3767,2085,1682,33,25,562,1419,22899,14668,8231,50,337,2590,44,42,1946,142,657,162,1575,0,1168,14363,53353,28,5193,0,4250,143415,856.0436238
GOA,2011,1457723,733245,724478,1165487,86.21,3702,48,22,6,29,0,29,28,17,11,2,0,26,318,1115,463,652,74,45,142,31,24,215,1,29,12,18,0,263,1001,3449,4,106,1,75,8256,566.3627452
GUJARAT,2011,60383628,37939807,22443821,41093358,88.7,196024,1126,478,43,439,0,439,1614,1442,172,221,24,1368,4509,16043,8934,7109,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,123371,217,8741,153,1131,275080,455.5539458
HARYANA,2011,25353081,17964492,7388589,16598988,78.03,44212,1062,851,60,733,0,733,959,733,226,167,176,638,5011,17425,12541,4884,1466,812,1761,18,166,3423,255,474,490,2740,0,1505,20549,60741,89,5425,0,280,146393,577.4170011
HIMACHAL PRADESH,2011,6856509,6176877,679632,5039736,75.55,55673,130,50,6,168,0,168,212,191,21,1,0,10,995,1042,356,686,530,143,359,4,110,1251,4,331,62,239,0,563,8102,14312,4,995,4,261,31310,456.6463779
JAMMU & KASHMIR,2011,12548926,9420476,3128450,7067233,82.8,222236,169,494,29,277,0,277,1077,1023,54,14,0,88,1516,2655,930,1725,1405,195,612,39,205,246,11,1194,350,286,0,385,13257,24504,1,3141,0,25,56184,447.7195897
JHARKHAND,2011,32966238,25513780,7452458,18328069,67.16,79714,1747,718,83,784,0,784,941,660,281,309,40,614,1235,6378,1872,4506,2133,447,907,22,138,4403,282,317,7,659,6,1728,11940,35838,636,2715,309,85,83524,253.3622429
KARNATAKA,2011,61130704,40490142,20640562,40647322,66.41,191791,1820,1837,85,636,0,636,1395,715,680,214,399,2123,6136,19834,10226,9608,7265,440,5850,105,231,21295,267,2608,81,3712,12,750,60505,137600,2481,8031,285,334,308196,504.1590884
KERALA,2011,33387677,24656761,8730916,28135824,94,38863,365,521,105,1132,0,1132,299,221,78,71,245,741,3001,4704,1454,3250,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,172137,761,11074,231,1452,363927,1090.003956
LAKSHADWEEP,2011,64429,35754,28675,52553,94,32,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44,0,0,0,0,92,142.7928417
MADHYA PRADESH,2011,72597565,53571980,19025585,42851169,91.85,308245,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094,3245,16509,1284,4381,486715,670.4288222
MAHARASHTRA,2011,112372972,64732231,47640741,81554290,82.34,307713,2818,2105,144,1701,0,1701,1669,1252,417,773,291,4249,16313,53449,19270,34179,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,204902,1143,15293,321,3362,486742,433.14864
MANIPUR,2011,2721756,1882909,848747,1908476,76.94,22327,78,245,4,53,0,53,169,116,53,1,154,7,52,719,553,166,70,42,126,12,99,292,1,38,0,39,0,2,1015,3218,0,247,1,87,7712,283.3464866
MEGHALAYA,2011,2964007,2386983,577024,1785005,74.43,22429,170,51,3,130,0,130,87,37,50,49,0,63,145,696,190,506,8,52,166,13,34,197,1,74,1,21,3,90,701,2755,0,267,0,104,6794,229.2167326
MIZORAM,2011,1091014,550948,540066,848175,91.33,21081,26,24,8,77,0,77,6,0,6,1,0,6,336,734,39,695,0,21,66,2,19,97,0,72,1,9,0,37,279,1821,0,159,0,52,4670,428.0421699
NAGALAND,2011,1980602,1630845,349757,1342434,79.55,1483,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,1083,0,36,0,20,2639,133.2423172
ODISHA,2011,41947358,35601162,6346196,26742595,72.87,155707,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,61277,1455,8347,484,315,144130,343.597325
PUDUCHERRY,2011,1244464,414184,830280,957309,85.85,479,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362,18,78,0,15,9561,768.2825698
PUNJAB,2011,27704236,18315782,9388454,18707137,75.84,50362,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,34883,90,2588,0,622,79010,285.1910444
RAJASTHAN,2011,68621012,52512769,16108243,38275282,66.11,342239,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,165622,634506,19701,1263,1491,1014308,1478.130343
SIKKIM,2011,607688,541912,65776,444952,81.42,7096,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,596,9,54,8,29,1390,228.7357986
TAMIL NADU,2011,72138958,40242663,31896295,51837507,80.33,130058,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,192879,1391,6315,23,925,410997,569.7296044
TRIPURA,2011,3671032,3049230,623802,2804783,80.09,10486,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803,22,1356,30,102,13969,380.5197013
UTTAR PRADESH,2011,199581477,157888889,41692588,114397555,67.68,240928,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135,7702,22468,35,5500,473200,237.096151
UTTARAKHAND,2011,10116752,7542681,2574071,6880953,78.82,53483,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774,32,990,0,83,21189,209.4446913
WEST BENGAL,2011,91347736,65828339,25519397,61538281,76.26,88752,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197,59,28919,41,1450,344957,377.6305961
A& N ISLANDS,2012,383024,257733,125291,298396,88.36,8249,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,683,0,47,4,28,1536,401.0192573
ANDHRA PRADESH,2012,85417854,62446343,22971511,51619004,67.6,275045,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522,3057,25167,666,2274,446894,523.1857031
ARUNACHAL PRADESH,2012,1411075,1102942,308134,794127,66.3,83743,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,2420,0,200,10,39,5619,398.2070407
ASSAM,2012,31620646,27609457,4011189,19694239,72.59,78438,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682,4,13470,0,392,184152,582.3789938
BIHAR,2012,105885250,94765101,11120149,54644051,62.4,94163,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614,4821,9836,2894,2894,337074,318.3389566
CHANDIGARH,2012,1070091,109546,960545,821657,86.9,114,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,3606,2,241,0,96,9214,861.048266
CHHATTISGARH,2012,26010835,20878289,5132547,15800599,71.5,135191,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598,262,4208,344,1881,122716,471.7880068
D & N HAVELI,2012,355089,273444,81646,235163,78.39,491,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,318,0,14,4,8,746,210.0881751
DAMAN & DIU,2012,251382,153362,98019,196487,87.18,112,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,239,0,8,0,8,557,221.5751327
DELHI,2012,17043508,1159935,15883572,13045067,86.81,16579,521,439,82,706,0,706,3970,2160,1810,28,13,608,1715,22032,14391,7641,79,341,2491,61,79,1747,134,727,208,1985,0,913,15408,54287,44,5920,0,4462,145708,854.917896
GOA,2012,1468729,738860,729868,1183480,86.65,3702,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608,10,160,1,122,8503,578.9359371
GUJARAT,2012,61354889,38559711,22795178,42219919,89.3,196024,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121,288,9517,221,1327,289740,472.236206
HARYANA,2012,25773933,18258015,7515918,17049519,80.7,44212,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,62480,55,5922,0,1015,151559,588.032102
HIMACHAL PRADESH,2012,6934370,6246333,688037,5139548,75.48,55673,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,12557,1,906,3,266,27414,395.3351206
JAMMU & KASHMIR,2012,12789449,9599817,3189631,7293228,83.5,222236,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,24608,2,3322,0,40,55998,437.8452895
JHARKHAND,2012,33568279,25969949,7598330,18983156,69.2,79714,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,40946,696,3458,287,113,94994,282.9874001
KARNATAKA,2012,61958718,41050253,20908465,41668558,66.55,191791,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,134021,2605,8703,374,875,301089,485.9509843
KERALA,2012,33542307,24764992,8777315,28400838,94.5,38863,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,158989,810,10714,124,1324,336328,1002.697876
LAKSHADWEEP,2012,64807,35961,28846,53340,94.2,32,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,60,0,2,0,0,129,199.0525715
MADHYA PRADESH,2012,79253519,54491090,19331429,43977030,93.1,308245,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,220335,2875,16718,1218,5168,494558,624.0202407
MAHARASHTRA,2012,123513391,65627689,48294717,83313125,82.88,307713,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,202700,1091,15952,308,3456,477105,386.2779543
MANIPUR,2012,2777253,1912118,876025,1968270,77.06,22327,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,3737,0,289,2,104,9058,326.1496162
MEGHALAYA,2012,3028526,2439210,589315,1847718,74.84,22429,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,2557,0,248,0,91,6252,206.4370588
MIZORAM,2012,1111258,561286,549972,866848,91.66,21081,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,1766,0,199,0,95,4542,408.7259664
NAGALAND,2012,1979659,1629205,350454,1363445,80.48,1483,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,1090,0,47,0,13,2669,134.821199
ODISHA,2012,42461628,36032536,6429092,27433149,73.15,155707,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,67957,2265,10476,688,418,162391,382.441766
PUDUCHERRY,2012,1271476,423030,848446,983403,86.1,479,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,4281,24,46,0,32,9354,735.6804218
PUNJAB,2012,28038760,18537711,9501048,19102154,76.11,50362,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,35790,71,3151,0,877,82550,294.4138756
RAJASTHAN,2012,69832394,53434765,16397630,39332609,66.76,342239,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,170948,653748,20906,1351,1807,1048314,1501.185825
SIKKIM,2012,614372,548005,66367,466034,81.42,7096,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,528,5,68,4,30,1324,215.5046128
TAMIL NADU,2012,73112286,40774761,32337525,52968803,80.88,130058,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,200474,1647,6381,27,1036,424717,580.9105736
TRIPURA,2012,3718215,3088808,631607,2883051,80.89,10486,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,6264,76,1559,29,20,15145,407.3191034
